"var","na_train","na_test"
"1","edad",0,0
"2","ingreso",0.173301304049417,0
"3","maf",0.114275909402883,0
"4","ci",0.115991763898421,0
"5","cuota",0.114275909402883,0
"6","pv",0.114275909402883,0
"7","antiguedad",0.976664378860673,1
"8","cuotas_pend",0,0
"9","cuotas_canc",1,1
"10","saldo_cap",0,0
"11","saldo_int",0,0
"12","saldo_mora",0,0
"13","provision",0,0
"14","cap_vig",0,0
"15","cap_ref",0,0
"16","cap_ven",0,0
"17","cap_jud",0,0
"18","mora_prom1m6",1,1
"19","mora",0,0
"20","sobreend",1,1
"21","riesgocc",1,1
"22","refinanciacion",1,1
"23","im_pagcof",1,0.676375404530744
"24","carga_gnv",1,0.702265372168285
"25","nro_carga_gnv",1,0.676375404530744
"26","cv_carga_gnv",1,0.999190938511327
"27","relacion_im_pagcof_cuota",1,0.676375404530744
"28","relacion_carga_gnv_cuota",1,0.702265372168285
"29","can_emp_1m",0.362045298558682,0.401294498381877
"30","cm_1m",0.362045298558682,0.401294498381877
"31","por_cal0_1m",0.362045298558682,0.401294498381877
"32","saldo_cal4_1m",0.378517501715855,0.41504854368932
"33","por_cal4_1m",0.362045298558682,0.401294498381877
"34","saldo_cal34_1m",0.378517501715855,0.41504854368932
"35","por_cal34_1m",0.362045298558682,0.401294498381877
"36","saldo_cal234_1m",0.378517501715855,0.41504854368932
"37","por_cal234_1m",0.362045298558682,0.401294498381877
"38","saldo_cal1234_1m",0.378517501715855,0.41504854368932
"39","por_cal1234_1m",0.362045298558682,0.401294498381877
"40","calificacion_1m",0.362045298558682,0.401294498381877
"41","saldo_1m",0.378517501715855,0.41504854368932
"42","mora_1m",0.378517501715855,0.41504854368932
"43","saldo_mora90_1m",0.378517501715855,0.41504854368932
"44","por_mora90_1m",0.378517501715855,0.41504854368932
"45","saldo_mora60_1m",0.378517501715855,0.41504854368932
"46","por_mora60_1m",0.378517501715855,0.41504854368932
"47","saldo_mora30_1m",0.378517501715855,0.41504854368932
"48","por_mora30_1m",0.378517501715855,0.41504854368932
"49","saldo_mora0_1m",0.378517501715855,0.41504854368932
"50","por_mora0_1m",0.378517501715855,0.41504854368932
"51","por_mora_0_1m",0.378517501715855,0.41504854368932
"52","por_vig_1m",0.378517501715855,0.41504854368932
"53","saldo_novig_1m",0.378517501715855,0.41504854368932
"54","por_novig_1m",0.378517501715855,0.41504854368932
"55","saldo_castigo_1m",0.378517501715855,0.41504854368932
"56","por_castigo_1m",0.378517501715855,0.41504854368932
"57","linea_activa_1m",0.824982841455045,0.84789644012945
"58","linea_total_1m",0.823953328757721,0.847087378640777
"59","linea_usada_1m",0.823953328757721,0.847087378640777
"60","por_uso_linea_1m",0.823953328757721,0.847087378640777
"61","disp_efectivo_1m",0.823953328757721,0.847087378640777
"62","por_uso_efectivo_1m",0.823953328757721,0.847087378640777
"63","saldo_me_1m",0.378517501715855,0.41504854368932
"64","por_me_1m",0.378517501715855,0.41504854368932
"65","por_cal0_min1m3",0.336993822923816,0.384304207119741
"66","saldo_cal4_max1m3",0.354495538778312,0.396440129449838
"67","por_cal4_max1m3",0.336993822923816,0.384304207119741
"68","saldo_cal34_max1m3",0.354495538778312,0.396440129449838
"69","por_cal34_max1m3",0.336993822923816,0.384304207119741
"70","saldo_cal234_max1m3",0.354495538778312,0.396440129449838
"71","por_cal234_max1m3",0.336993822923816,0.384304207119741
"72","saldo_cal1234_max1m3",0.354495538778312,0.396440129449838
"73","por_cal1234_max1m3",0.336993822923816,0.384304207119741
"74","calificacion_max1m3",0,0
"75","saldo_max1m3",0.354495538778312,0.396440129449838
"76","mora_max1m3",0.354495538778312,0.396440129449838
"77","saldo_mora90_max1m3",0.354495538778312,0.396440129449838
"78","por_mora90_max1m3",0.354495538778312,0.396440129449838
"79","saldo_mora60_max1m3",0.354495538778312,0.396440129449838
"80","por_mora60_max1m3",0.354495538778312,0.396440129449838
"81","saldo_mora30_max1m3",0.354495538778312,0.396440129449838
"82","por_mora30_max1m3",0.354495538778312,0.396440129449838
"83","saldo_mora0_max1m3",0.354495538778312,0.396440129449838
"84","por_mora0_max1m3",0.354495538778312,0.396440129449838
"85","por_mora_0_min1m3",0.354495538778312,0.396440129449838
"86","por_vig_min1m3",0.354495538778312,0.396440129449838
"87","saldo_novig_max1m3",0.354495538778312,0.396440129449838
"88","por_novig_max1m3",0.354495538778312,0.396440129449838
"89","saldo_castigo_max1m3",0.354495538778312,0.396440129449838
"90","por_castigo_max1m3",0.354495538778312,0.396440129449838
"91","linea_activa_max1m3",0.81503088538092,0.837378640776699
"92","linea_total_max1m3",0.814687714481812,0.837378640776699
"93","linea_usada_max1m3",0.814687714481812,0.837378640776699
"94","por_uso_linea_max1m3",0.814687714481812,0.837378640776699
"95","disp_efectivo_max1m3",0.814687714481812,0.837378640776699
"96","por_uso_efectivo_max1m3",0.814687714481812,0.837378640776699
"97","saldo_me_max1m3",0.354495538778312,0.396440129449838
"98","por_me_max1m3",0.354495538778312,0.396440129449838
"99","por_cal0_min1m6",0.315717227179135,0.360032362459547
"100","saldo_cal4_max1m6",0.330816746739876,0.372168284789644
"101","por_cal4_max1m6",0.315717227179135,0.360032362459547
"102","saldo_cal34_max1m6",0.330816746739876,0.372168284789644
"103","por_cal34_max1m6",0.315717227179135,0.360032362459547
"104","saldo_cal234_max1m6",0.330816746739876,0.372168284789644
"105","por_cal234_max1m6",0.315717227179135,0.360032362459547
"106","saldo_cal1234_max1m6",0.330816746739876,0.372168284789644
"107","por_cal1234_max1m6",0.315717227179135,0.360032362459547
"108","calificacion_max1m6",0,0
"109","saldo_max1m6",0.330816746739876,0.372168284789644
"110","mora_max1m6",0.330816746739876,0.372168284789644
"111","saldo_mora90_max1m6",0.330816746739876,0.372168284789644
"112","por_mora90_max1m6",0.330816746739876,0.372168284789644
"113","saldo_mora60_max1m6",0.330816746739876,0.372168284789644
"114","por_mora60_max1m6",0.330816746739876,0.372168284789644
"115","saldo_mora30_max1m6",0.330816746739876,0.372168284789644
"116","por_mora30_max1m6",0.330816746739876,0.372168284789644
"117","saldo_mora0_max1m6",0.330816746739876,0.372168284789644
"118","por_mora0_max1m6",0.330816746739876,0.372168284789644
"119","por_mora_0_min1m6",0.330816746739876,0.372168284789644
"120","por_vig_min1m6",0.330816746739876,0.372168284789644
"121","saldo_novig_max1m6",0.330816746739876,0.372168284789644
"122","por_novig_max1m6",0.330816746739876,0.372168284789644
"123","saldo_castigo_max1m6",0.330816746739876,0.372168284789644
"124","por_castigo_max1m6",0.330816746739876,0.372168284789644
"125","linea_activa_max1m6",0.800960878517502,0.828478964401295
"126","linea_total_max1m6",0.798558682223747,0.826860841423948
"127","linea_usada_max1m6",0.798558682223747,0.826860841423948
"128","por_uso_linea_max1m6",0.798558682223747,0.826860841423948
"129","disp_efectivo_max1m6",0.798558682223747,0.826860841423948
"130","por_uso_efectivo_max1m6",0.798558682223747,0.826860841423948
"131","saldo_me_max1m6",0.330816746739876,0.372168284789644
"132","por_me_max1m6",0.330816746739876,0.372168284789644
"133","por_cal0_min1m12",0.272477693891558,0.318770226537217
"134","saldo_cal4_max1m12",0.285518188057653,0.334142394822006
"135","por_cal4_max1m12",0.272477693891558,0.318770226537217
"136","saldo_cal34_max1m12",0.285518188057653,0.334142394822006
"137","por_cal34_max1m12",0.272477693891558,0.318770226537217
"138","saldo_cal234_max1m12",0.285518188057653,0.334142394822006
"139","por_cal234_max1m12",0.272477693891558,0.318770226537217
"140","saldo_cal1234_max1m12",0.285518188057653,0.334142394822006
"141","por_cal1234_max1m12",0.272477693891558,0.318770226537217
"142","calificacion_max1m12",0,0
"143","saldo_max1m12",0.285518188057653,0.334142394822006
"144","mora_max1m12",0.285518188057653,0.334142394822006
"145","saldo_mora90_max1m12",0.285518188057653,0.334142394822006
"146","por_mora90_max1m12",0.285518188057653,0.334142394822006
"147","saldo_mora60_max1m12",0.285518188057653,0.334142394822006
"148","por_mora60_max1m12",0.285518188057653,0.334142394822006
"149","saldo_mora30_max1m12",0.285518188057653,0.334142394822006
"150","por_mora30_max1m12",0.285518188057653,0.334142394822006
"151","saldo_mora0_max1m12",0.285518188057653,0.334142394822006
"152","por_mora0_max1m12",0.285518188057653,0.334142394822006
"153","por_mora_0_min1m12",0.285518188057653,0.334142394822006
"154","por_vig_min1m12",0.285518188057653,0.334142394822006
"155","saldo_novig_max1m12",0.285518188057653,0.334142394822006
"156","por_novig_max1m12",0.285518188057653,0.334142394822006
"157","saldo_castigo_max1m12",0.285518188057653,0.334142394822006
"158","por_castigo_max1m12",0.285518188057653,0.334142394822006
"159","linea_activa_max1m12",0.773164035689774,0.8042071197411
"160","linea_total_max1m12",0.770761839396019,0.801779935275081
"161","linea_usada_max1m12",0.770761839396019,0.801779935275081
"162","por_uso_linea_max1m12",0.770761839396019,0.801779935275081
"163","disp_efectivo_max1m12",0.770761839396019,0.801779935275081
"164","por_uso_efectivo_max1m12",0.770761839396019,0.801779935275081
"165","saldo_me_max1m12",0.285518188057653,0.334142394822006
"166","por_me_max1m12",0.285518188057653,0.334142394822006
"167","expcred_1m12",0,0
"168","cv_saldo_1m12",0.285518188057653,0.334142394822006
"169","frec_por_cal0_100_1m12",0,0
"170","frec_por_cal4_100_1m12",0,0
"171","frec_calificacion_0_1m12",0,0
"172","frec_calificacion_4_1m12",0,0
"173","frec_calificacion_34_1m12",0,0
"174","frec_calificacion_234_1m12",0,0
"175","frec_calificacion_1234_1m12",0,0
"176","frec_mora_0_1m12",0,0
"177","frec_mora0_1m12",0,0
"178","frec_mora30_1m12",0,0
"179","frec_mora60_1m12",0,0
"180","frec_mora90_1m12",0,0
"181","frec_mora120_1m12",0,0
"182","ci_pv",0.115991763898421,0
